Marca temporal,Edad:,Género,Tipo de colegio,Facultad,Carrera ,Carrera,Carrera,Carrera,Carrera,Año de carrera,Rendimiento académico general,Rendimiento académico último cuatrimestre,¿Cuántas horas duermes? (en periodo de exámenes),¿Cuántas horas duermes? (excluyendo periodo de exámenes),¿Cuántas horas de ocio? (en periodo de exámenes),¿Cuántas horas de ocio tienes? (excluyendo periodo de exámenes),¿Cuántas horas de estudio independiente? (excluyendo periodo de exámenes),¿Cuántas horas de estudio independiente? (en periodo de exámenes),¿Cómo de saludables definirías tus hábitos nutricionales?,¿Cuán activa definirías tu vida social?,¿Cuál es tu situación doméstica?,¿Cuál es tu situación laboral?,¿Consideras que tienes estrés?,¿Tomas alguna medida para combatir tu estrés?,¿Cuántas veces sales de fiesta al mes? (sin período de exámenes),¿Cuántas veces a la semana haces deporte? (sin estar en período de exámenes),Hobbies,¿Tienes pareja estable?,¿Cuánto tiempo pasas con tu pareja? (en período de exámenes),¿Cuánto tiempo pasas con tu pareja? (sin estar en período de exámenes)
13/05/2022 10:07:09,20,Hombre,Público,EPS,,,,,Ingeniería Informática,Segundo año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 4 y 5 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,6,4,Vivo con mis padres,No tengo trabajo,Tal vez,No,Nunca o casi nunca salgo de fiesta,1 o 2 veces por semana,Videojuegos,No,,
13/05/2022 10:12:27,22,Hombre,Público,EPS,,,,,Matemáticas,Cuarto año,Entre 7 y 8,Entre 7 y 8,entre 5 y 6 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 3 y 4 horas diarias,entre 5 y 6 horas diarias,9,6,Vivo con mis padres,Trabajo de manera esporádica,No,,Nunca o casi nunca salgo de fiesta,5 o más,"Escuchar música, Leer, Meditación/Yoga, Ver películas, Videojuegos",No,,
13/05/2022 10:47:05,20,Mujer,Público,EPS,,,,,Edificación,Tercer año,Entre 7 y 8,Entre 7 y 8,entre 5 y 6 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 3 y 4 horas diarias,entre 4 y 5 horas diarias,6,4,Vivo con mis padres,Trabajo en verano,Tal vez,No,Nunca o casi nunca salgo de fiesta,1 o 2 veces por semana,"Bailar, Escuchar música, Leer, Ver películas",No,,
13/05/2022 10:47:12,20,Mujer,Público,EPS,,,,,Edificación,Segundo año,Entre 6 y 7,Entre 6 y 7,entre 5 y 6 horas diarias,entre 5 y 6 horas diarias,entre 1 y 2 horas diarias,menos de 1 hora diaria,entre 4 y 5 horas diarias,entre 5 y 6 horas diarias,8,6,Vivo con mis padres,Trabajo en verano,Sí,Si,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,"Cocina, Escuchar música, Leer, Ver películas",No,,
13/05/2022 10:49:12,20,Mujer,Público,EPS,,,,,Edificación,Tercer año,Entre 6 y 7,Entre 5 y 6,entre 7 y 8 horas diarias,entre 8 y 9 horas diarias,entre 4 y 5 horas diarias,entre 5 y 6 horas diarias,entre 5 y 6 horas diarias,entre 6 y 7 horas diarias,10,8,Vivo con mis padres,Trabajo de manera esporádica,No,,Nunca o casi nunca salgo de fiesta,1 o 2 veces por semana,"Bailar, Cocina, Dibujar, Escuchar música, Fotografía, Instrumento musical, Leer, Meditación/Yoga, Teatro, Ver películas",No,,
13/05/2022 12:05:21,24,Mujer,Concertado,Filosofía y Letras,,,,Lengua y Literatura española,,Cuarto año,Entre 6 y 7,Entre 7 y 8,entre 5 y 6 horas diarias,entre 7 y 8 horas diarias,entre 5 y 6 horas diarias,entre 5 y 6 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,9,9,Vivo con mis padres,No tengo trabajo,Sí,No,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,Ver películas,No,,
13/05/2022 12:05:49,23,Mujer,Concertado,Filosofía y Letras,,,,Lengua y Literatura española,,Cuarto año,Entre 6 y 7,Entre 6 y 7,entre 4 y 5 horas diarias,entre 4 y 5 horas diarias,entre 3 y 4 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,5,6,Vivo en un piso compartido,Trabajo de manera esporádica,Sí,No,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Escuchar música, Leer, Ver películas",No,,
13/05/2022 12:07:44,22,Mujer,Público,Filosofía y Letras,,,,Lengua y Literatura española,,Cuarto año,Entre 6 y 7,Entre 6 y 7,entre 7 y 8 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 2 y 3 horas diarias,entre 4 y 5 horas diarias,5,6,Vivo con mis padres,Trabajo en verano,No,,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,"Bailar, Escuchar música, Leer, Meditación/Yoga",No,,
13/05/2022 12:12:56,18,Mujer,Público,Filosofía y Letras,,,,Filosofía,,Primer año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 8 y 9 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,menos de 1 hora diaria,menos de 1 hora diaria,10,7,Vivo con mis padres,No tengo trabajo,Tal vez,Si,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,"Fotografía, Leer, Videojuegos",No,,
13/05/2022 12:15:33,18,Hombre,Público,Filosofía y Letras,,,,Filosofía,,Primer año,Entre 6 y 7,Entre 6 y 7,entre 5 y 6 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 5 y 6 horas diarias,6,7,Vivo en un piso compartido,No tengo trabajo,Tal vez,Si,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Cocina, Escuchar música, Fotografía, Leer, Ver películas, Videojuegos",No,,
13/05/2022 12:16:44,22,Hombre,Público,EPS,,,,,Matemáticas,Quinto año,Entre 6 y 7,Entre 9 y 10,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,entre 4 y 5 horas diarias,7,7,Vivo con mis padres,Trabajo de manera esporádica,Sí,No,Nunca o casi nunca salgo de fiesta,1 o 2 veces por semana,"Ver películas, Videojuegos",No,,
13/05/2022 12:18:49,21,Mujer,Público,Filosofía y Letras,,,,Lengua y Literatura española,,Cuarto año,Entre 7 y 8,Entre 7 y 8,entre 5 y 6 horas diarias,entre 6 y 7 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,0,6,Vivo con mis padres,Trabajo de manera esporádica,Sí,,Nunca o casi nunca salgo de fiesta,1 o 2 veces por semana,"Escuchar música, Leer, Ver películas",No,,
13/05/2022 12:20:37,21,Mujer,Concertado,Filosofía y Letras,,,,Lengua y Literatura española,,Cuarto año,Entre 7 y 8,Entre 8 y 9,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 3 y 4 horas diarias,entre 6 y 7 horas diarias,menos de 1 hora diaria,entre 4 y 5 horas diarias,7,7,Vivo con mis padres,No tengo trabajo,Tal vez,No,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Bailar, Escuchar música, Ver películas",No,,
13/05/2022 12:21:23,21,Mujer,Público,EPS,,,,,Ingeniería Informática,Tercer año,Entre 6 y 7,Entre 8 y 9,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 4 y 5 horas diarias,entre 3 y 4 horas diarias,entre 5 y 6 horas diarias,entre 5 y 6 horas diarias,7,5,Vivo con mis padres,No tengo trabajo,Tal vez,No,Nunca o casi nunca salgo de fiesta,1 o 2 veces por semana,"Escuchar música, Leer, Ver películas, Videojuegos",No,,
13/05/2022 13:17:38,21,Mujer,Público,EPS,,,,,Edificación,Tercer año,Entre 6 y 7,Entre 6 y 7,entre 5 y 6 horas diarias,entre 7 y 8 horas diarias,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 6 y 7 horas diarias,7,5,Vivo con mis padres,No tengo trabajo,Tal vez,No,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,"Escuchar música, Teatro, Ver películas",No,,
13/05/2022 14:04:48,21,Hombre,Concertado,EPS,,,,,Edificación,Tercer año,Entre 6 y 7,Entre 6 y 7,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,entre 6 y 7 horas diarias,8,4,Vivo con mis padres,No tengo trabajo,Sí,No,Nunca o casi nunca salgo de fiesta,1 o 2 veces por semana,"Escuchar música, Leer",No,,
13/05/2022 19:55:49,20,Hombre,Concertado,EPS,,,,,Ingeniería Informática,Tercer año,Entre 6 y 7,Entre 6 y 7,entre 5 y 6 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,7,5,Vivo con mis padres,No tengo trabajo,Tal vez,NS/NC,Nunca o casi nunca salgo de fiesta,3 o 4 veces por semana,"Escuchar música, Fotografía, Leer, Ver películas",No,,
16/05/2022 12:46:42,22,Mujer,Público,Economía y Empresa,Administración de Empresas,,,,,Cuarto año,Entre 7 y 8,Entre 7 y 8,entre 5 y 6 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 6 y 7 horas diarias,entre 2 y 3 horas diarias,más de 8 horas diarias,6,6,Vivo con mis padres,No tengo trabajo,Sí,Si,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Escuchar música, Fotografía, Leer, Teatro, Ver películas",No,,
16/05/2022 13:31:02,20,Mujer,Público,Economía y Empresa,Doble grado de AdE y Economía,,,,,Tercer año,Entre 6 y 7,Entre 5 y 6,entre 6 y 7 horas diarias,entre 8 y 9 horas diarias,menos de 1 hora diaria,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,más de 8 horas diarias,6,6,Vivo con mis padres,Trabajo en verano,Sí,No,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Escuchar música, Ver películas, Videojuegos",No,,
17/05/2022 9:07:36,21,Mujer,Público,Educación,,,Educación infantil,,,Segundo año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 7 y 8 horas diarias,entre 2 y 3 horas diarias,entre 5 y 6 horas diarias,entre 1 y 2 horas diarias,entre 5 y 6 horas diarias,6,6,Vivo con mis padres,Tengo trabajo estable,Sí,No,Nunca o casi nunca salgo de fiesta,1 o 2 veces por semana,"Escuchar música, Leer, Meditación/Yoga, Ver películas",No,,
17/05/2022 14:02:12,18,Hombre,Público,Educación,,,Educación primaria,,,Primer año,Entre 8 y 9,Entre 8 y 9,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 4 y 5 horas diarias,entre 1 y 2 horas diarias,más de 8 horas diarias,8,6,Vivo con mis padres,No tengo trabajo,Sí,Si,Nunca o casi nunca salgo de fiesta,3 o 4 veces por semana,"Bailar, Dibujar, Escuchar música, Leer, Ver películas",No,,
17/05/2022 14:02:14,21,Hombre,Público,Educación,,,Psicología,,,Segundo año,Entre 7 y 8,Entre 7 y 8,entre 5 y 6 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,9,8,Vivo en un piso compartido,No tengo trabajo,Sí,NS/NC,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Escuchar música, Leer, Ver películas",No,,
17/05/2022 14:07:34,21,Mujer,Concertado,Educación,,,Psicología,,,Cuarto año,Entre 7 y 8,Entre 7 y 8,entre 6 y 7 horas diarias,entre 8 y 9 horas diarias,entre 2 y 3 horas diarias,entre 5 y 6 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,7,10,Vivo con mis padres,Trabajo en verano,Tal vez,No,Salgo de fiesta una o dos veces al mes,Casi nunca/No hago deporte,"Escuchar música, Ver películas",No,,
17/05/2022 14:07:36,22,Hombre,Concertado,Educación,,,Psicología,,,Cuarto año,Entre 7 y 8,Entre 8 y 9,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 4 y 5 horas diarias,entre 4 y 5 horas diarias,entre 6 y 7 horas diarias,entre 5 y 6 horas diarias,9,9,Vivo con mis padres,No tengo trabajo,No,,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,Ver películas,No,,
17/05/2022 14:12:30,21,Mujer,Concertado,Educación,,,Psicología,,,Cuarto año,Entre 7 y 8,Entre 7 y 8,entre 6 y 7 horas diarias,entre 8 y 9 horas diarias,entre 2 y 3 horas diarias,entre 4 y 5 horas diarias,entre 3 y 4 horas diarias,entre 6 y 7 horas diarias,6,8,Vivo con mis padres,Trabajo en verano,Sí,Si,Salgo de fiesta una o dos veces al mes,Casi nunca/No hago deporte,"Escuchar música, Leer, Teatro, Ver películas",No,,
17/05/2022 14:15:43,19,Mujer,Público,Economía y Empresa,Administración de Empresas,,,,,Segundo año,Entre 6 y 7,Entre 4 y 5,entre 7 y 8 horas diarias,más de 9 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,entre 5 y 6 horas diarias,entre 7 y 8 horas diarias,6,8,Vivo con mis padres,Trabajo en verano,Sí,Si,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Cocina, Escuchar música, Fotografía, Leer, Ver películas",No,,
17/05/2022 14:15:48,20,Mujer,Público,Economía y Empresa,Economía,,,,,Tercer año,Entre 7 y 8,Entre 6 y 7,entre 4 y 5 horas diarias,entre 6 y 7 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,8,8,Vivo con mis padres,Trabajo en verano,Sí,Si,Salgo de fiesta una o dos veces al mes,5 o más,"Dibujar, Escuchar música, Leer, Ver películas",No,,
17/05/2022 14:19:57,18,Hombre,Público,Educación,,,Enfermería,,,Primer año,Entre 5 y 6,Entre 5 y 6,entre 7 y 8 horas diarias,entre 8 y 9 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,9,10,Vivo con mis padres,No tengo trabajo,Sí,No,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,"Bailar, Escuchar música, Fotografía, Ver películas",No,,
17/05/2022 14:20:02,20,Hombre,Concertado,Educación,,,Educación primaria,,,Segundo año,Entre 6 y 7,Entre 6 y 7,entre 5 y 6 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 7 y 8 horas diarias,7,8,Vivo en un piso compartido,Tengo trabajo estable,Sí,Si,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Bailar, Cocina, Instrumento musical, Leer, Meditación/Yoga, Teatro, Ver películas",No,,
17/05/2022 14:23:52,20,Hombre,Público,Educación,,,Psicología,,,Segundo año,Entre 4 y 5,Menor que 4,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,menos de 1 hora diaria,entre 3 y 4 horas diarias,10,7,Vivo con mis padres,No tengo trabajo,Tal vez,Si,Salgo de fiesta más de dos veces al mes,5 o más,"Cocina, Escuchar música",No,,
17/05/2022 14:24:15,20,Mujer,Concertado,Economía y Empresa,Doble grado de AdE y Economía,,,,,Tercer año,Entre 6 y 7,Entre 5 y 6,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 4 y 5 horas diarias,entre 4 y 5 horas diarias,entre 3 y 4 horas diarias,9,10,Vivo con mis padres,No tengo trabajo,No,,Salgo de fiesta más de dos veces al mes,1 o 2 veces por semana,"Bailar, Escuchar música",No,,
17/05/2022 14:37:20,20,Hombre,Público,Economía y Empresa,Doble grado de AdE y Economía,,,,,Segundo año,Entre 8 y 9,Entre 8 y 9,entre 6 y 7 horas diarias,entre 8 y 9 horas diarias,entre 1 y 2 horas diarias,entre 5 y 6 horas diarias,entre 4 y 5 horas diarias,entre 7 y 8 horas diarias,8,4,Vivo con mis padres,No tengo trabajo,Sí,No,Nunca o casi nunca salgo de fiesta,1 o 2 veces por semana,"Escuchar música, Ver películas",No,,
17/05/2022 14:44:47,23,Mujer,Concertado,Economía y Empresa,Doble grado de AdE y Economía,,,,,Quinto año,Entre 6 y 7,Entre 8 y 9,entre 4 y 5 horas diarias,entre 5 y 6 horas diarias,entre 1 y 2 horas diarias,entre 5 y 6 horas diarias,entre 1 y 2 horas diarias,entre 7 y 8 horas diarias,5,9,Vivo con mis padres,Tengo trabajo estable,Sí,No,Salgo de fiesta más de dos veces al mes,1 o 2 veces por semana,"Dibujar, Escuchar música, Leer",No,,
17/05/2022 14:44:51,23,Mujer,Concertado,Economía y Empresa,Administración de Empresas,,,,,Cuarto año,Entre 8 y 9,Entre 9 y 10,entre 7 y 8 horas diarias,entre 8 y 9 horas diarias,menos de 1 hora diaria,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 5 y 6 horas diarias,7,6,Vivo solo,Tengo trabajo estable,Tal vez,Si,Salgo de fiesta más de dos veces al mes,1 o 2 veces por semana,"Bailar, Cocina, Leer",No,,
17/05/2022 14:51:52,22,Mujer,Público,Economía y Empresa,Doble grado de AdE y Economía,,,,,Quinto año,Entre 6 y 7,Entre 7 y 8,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 4 y 5 horas diarias,más de 8 horas diarias,2,6,Vivo con mis padres,Trabajo en verano,Sí,No,Salgo de fiesta más de dos veces al mes,Casi nunca/No hago deporte,"Escuchar música, Leer, Ver películas",No,,
17/05/2022 14:51:58,23,Mujer,Público,Economía y Empresa,Economía,,,,,Quinto año,Entre 6 y 7,Entre 7 y 8,entre 5 y 6 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 4 y 5 horas diarias,entre 3 y 4 horas diarias,más de 8 horas diarias,8,8,Vivo con mis padres,Trabajo en verano,Sí,No,Nunca o casi nunca salgo de fiesta,1 o 2 veces por semana,"Cocina, Ver películas",No,,
17/05/2022 14:52:02,23,Mujer,Público,Educación,,,Psicología,,,Quinto año,Entre 7 y 8,Entre 8 y 9,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,7,8,Vivo con mis padres,Tengo trabajo estable,No,,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Escuchar música, Instrumento musical, Ver películas",No,,
17/05/2022 14:52:03,21,Mujer,Público,Economía y Empresa,Doble grado de AdE y Economía,,,,,Cuarto año,Entre 7 y 8,Entre 8 y 9,entre 6 y 7 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,entre 6 y 7 horas diarias,más de 8 horas diarias,8,8,Vivo con mis padres,Trabajo en verano,No,,Salgo de fiesta más de dos veces al mes,Casi nunca/No hago deporte,"Escuchar música, Leer, Ver películas",No,,
17/05/2022 14:52:40,23,Mujer,Público,Economía y Empresa,Administración de Empresas,,,,,Cuarto año,Entre 5 y 6,Entre 5 y 6,entre 8 y 9 horas diarias,entre 8 y 9 horas diarias,entre 2 y 3 horas diarias,entre 4 y 5 horas diarias,menos de 1 hora diaria,entre 4 y 5 horas diarias,9,10,Vivo con mis padres,Tengo trabajo estable,Tal vez,No,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,Escuchar música,No,,
17/05/2022 14:59:20,20,Hombre,Público,Educación,,,Educación infantil,,,Segundo año,Entre 7 y 8,Entre 6 y 7,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 2 y 3 horas diarias,entre 2 y 3 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,9,9,Vivo con mis padres,No tengo trabajo,No,,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,Escuchar música,No,,
17/05/2022 14:59:25,22,Hombre,Público,Economía y Empresa,Administración de Empresas,,,,,Cuarto año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 8 y 9 horas diarias,entre 3 y 4 horas diarias,entre 5 y 6 horas diarias,entre 3 y 4 horas diarias,entre 4 y 5 horas diarias,7,7,Vivo con mis padres,Trabajo en verano,Tal vez,No,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,"Cocina, Escuchar música, Ver películas, Videojuegos",No,,
17/05/2022 14:59:27,21,Hombre,Público,Economía y Empresa,Administración de Empresas,,,,,Cuarto año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 8 y 9 horas diarias,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,entre 2 y 3 horas diarias,entre 4 y 5 horas diarias,7,8,Vivo con mis padres,Trabajo en verano,Sí,Si,Salgo de fiesta más de dos veces al mes,3 o 4 veces por semana,"Escuchar música, Ver películas, Videojuegos",No,,
17/05/2022 15:06:56,18,Mujer,Público,Economía y Empresa,Administración de Empresas,,,,,Primer año,Entre 6 y 7,Entre 6 y 7,entre 5 y 6 horas diarias,entre 8 y 9 horas diarias,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,7,8,Vivo con mis padres,Trabajo en verano,Sí,NS/NC,Nunca o casi nunca salgo de fiesta,5 o más,"Escuchar música, Leer, Ver películas, Videojuegos",No,,
17/05/2022 15:06:58,28,Hombre,Público,Economía y Empresa,Administración de Empresas,,,,,Primer año,Entre 6 y 7,Entre 5 y 6,entre 6 y 7 horas diarias,entre 7 y 8 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,menos de 1 hora diaria,entre 1 y 2 horas diarias,8,9,Vivo solo,Tengo trabajo estable,Tal vez,No,Salgo de fiesta más de dos veces al mes,5 o más,"Escuchar música, Ver películas, Videojuegos",No,,
17/05/2022 15:07:28,19,Hombre,Público,Economía y Empresa,Administración de Empresas,,,,,Primer año,Entre 6 y 7,Entre 4 y 5,menos de 4 horas diarias,entre 5 y 6 horas diarias,menos de 1 hora diaria,entre 2 y 3 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,9,10,Vivo con mis padres,Busco trabajo de manera activa,Tal vez,NS/NC,Salgo de fiesta una o dos veces al mes,5 o más,"Leer, Ver películas, Videojuegos",No,,
17/05/2022 15:07:53,22,Mujer,Público,Economía y Empresa,Administración de Empresas,,,,,Primer año,Menor que 4,Menor que 4,entre 5 y 6 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 4 y 5 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,9,7,Vivo solo,Trabajo en verano,Sí,No,Nunca o casi nunca salgo de fiesta,Casi nunca/No hago deporte,"Bailar, Bricolaje/Jardinería, Escuchar música, Ver películas, Videojuegos",No,,
17/05/2022 15:07:58,21,Hombre,Público,Economía y Empresa,Administración de Empresas,,,,,Primer año,Entre 7 y 8,Entre 5 y 6,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 1 y 2 horas diarias,menos de 1 hora diaria,entre 6 y 7 horas diarias,7,7,Vivo con mis padres,Tengo trabajo estable,Tal vez,Si,Nunca o casi nunca salgo de fiesta,5 o más,"Escuchar música, Leer, Ver películas",No,,
17/05/2022 15:19:43,20,Mujer,Concertado,Economía y Empresa,Economía,,,,,Tercer año,Entre 8 y 9,Entre 8 y 9,entre 8 y 9 horas diarias,entre 8 y 9 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 3 y 4 horas diarias,entre 5 y 6 horas diarias,7,7,Vivo con mis padres,No tengo trabajo,No,,Nunca o casi nunca salgo de fiesta,1 o 2 veces por semana,"Cocina, Escuchar música, Fotografía, Teatro, Ver películas",No,,
17/05/2022 15:19:49,20,Mujer,Público,Economía y Empresa,Administración de Empresas,,,,,Tercer año,Entre 6 y 7,Entre 6 y 7,entre 6 y 7 horas diarias,entre 6 y 7 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 3 y 4 horas diarias,entre 5 y 6 horas diarias,6,10,Vivo con mis padres,Trabajo en verano,Tal vez,No,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,"Escuchar música, Fotografía, Ver películas",No,,
17/05/2022 15:28:44,21,Mujer,Concertado,Educación,,,Enfermería,,,Tercer año,Entre 7 y 8,Entre 8 y 9,entre 6 y 7 horas diarias,entre 8 y 9 horas diarias,menos de 1 hora diaria,entre 4 y 5 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,7,7,Vivo con mis padres,Trabajo en verano,Sí,Si,Nunca o casi nunca salgo de fiesta,3 o 4 veces por semana,"Dibujar, Escuchar música, Fotografía, Leer",No,,
17/05/2022 15:30:56,22,Mujer,Concertado,Educación,,,Educación primaria,,,Cuarto año,Entre 7 y 8,Entre 7 y 8,entre 6 y 7 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 5 y 6 horas diarias,menos de 1 hora diaria,entre 5 y 6 horas diarias,6,7,Vivo con mis padres,No tengo trabajo,Tal vez,No,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Cocina, Leer, Teatro, Ver películas",No,,
17/05/2022 15:31:52,19,Mujer,Público,Educación,,,Educación infantil,,,Segundo año,Entre 8 y 9,Entre 8 y 9,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,entre 2 y 3 horas diarias,entre 2 y 3 horas diarias,9,9,Vivo en un piso compartido,No tengo trabajo,No,,Salgo de fiesta una o dos veces al mes,3 o 4 veces por semana,"Escuchar música, Fotografía",No,,
17/05/2022 15:37:50,20,Mujer,Público,Educación,,,Educación primaria,,,Tercer año,Entre 6 y 7,Entre 7 y 8,entre 6 y 7 horas diarias,entre 7 y 8 horas diarias,entre 1 y 2 horas diarias,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,entre 4 y 5 horas diarias,7,6,Vivo con mis padres,No tengo trabajo,Sí,NS/NC,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Cocina, Escuchar música, Ver películas",No,,
17/05/2022 19:13:15,20,Hombre,Público,Educación,,,Psicología,,,Tercer año,Entre 7 y 8,Entre 7 y 8,entre 6 y 7 horas diarias,entre 8 y 9 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,menos de 1 hora diaria,entre 4 y 5 horas diarias,8,5,Vivo con mis padres,Trabajo en verano,Tal vez,No,Salgo de fiesta una o dos veces al mes,1 o 2 veces por semana,"Bricolaje/Jardinería, Escuchar música, Ver películas",No,,
11/04/2022 14:52:20,20,Mujer,Público,Economía y Empresa,Doble grado de AdE y Economía,,,,,Segundo año,Entre 7 y 8,Entre 6 y 7,entre 7 y 8 horas diarias,entre 7 y 8 horas diarias,entre 2 y 3 horas diarias,entre 3 y 4 horas diarias,entre 1 y 2 horas diarias,entre 3 y 4 horas diarias,8,8,Vivo con mis padres,No tengo trabajo,Sí,Si,Nunca o casi nunca salgo de fiesta,1 o 2 veces por semana,"Cocina, Dibujar, Escuchar música, Leer, Ver películas",Si,Menos de 2 horas diarias,Entre 2 y 4 horas diarias
